id,created_at,updated_at,deleted_at,name,vehicle_make_id,vehicle_type_id,code,vehicle_utility_id
636,2025-06-26 18:57:25,2025-07-03 12:28:05,,IS 350,22,1,716,
643,2025-06-26 18:57:25,2025-07-03 12:28:05,,IS F,22,1,264,
646,2025-06-26 18:57:25,2025-07-03 12:28:05,,IS 250,22,1,628,
659,2025-06-26 18:57:25,2025-07-03 12:28:05,,NAVIGATOR,23,2,272,
660,2025-06-26 18:57:25,2025-07-03 12:28:05,,TOWN CAR,23,1,273,
666,2025-06-26 18:57:25,2025-07-03 12:28:05,,AVIATOR,23,2,270,
669,2025-06-26 18:57:25,2025-07-03 12:28:05,,DEMIO,24,1,290,
670,2025-06-26 18:57:25,2025-07-03 12:28:05,,CX-9,24,2,289,
671,2025-06-26 18:57:25,2025-07-03 12:28:05,,6,24,1,281,
672,2025-06-26 18:57:25,2025-07-03 12:28:05,,CX -5,24,2,287,
673,2025-06-26 18:57:25,2025-07-03 12:28:05,,BT-50,24,4,286,
674,2025-06-26 18:57:25,2025-07-03 12:28:05,,CX-7,24,2,288,
675,2025-06-26 18:57:25,2025-07-03 12:28:05,,CX-3,24,2,675,
676,2025-06-26 18:57:25,2025-07-03 12:28:05,,3,24,1,278,
678,2025-06-26 18:57:25,2025-07-03 12:28:05,,5,24,6,280,
679,2025-06-26 18:57:25,2025-07-03 12:28:05,,RX8,24,1,294,
680,2025-06-26 18:57:25,2025-07-03 12:28:05,,626,24,1,282,
682,2025-06-26 18:57:25,2025-07-03 12:28:05,,2,24,1,277,
685,2025-06-26 18:57:25,2025-07-03 12:28:05,,RX-7,24,1,293,
687,2025-06-26 18:57:25,2025-07-03 12:28:05,,TRIBUTE,24,2,295,
689,2025-06-26 18:57:25,2025-07-03 12:28:05,,B2900,24,4,284,
694,2025-06-26 18:57:25,2025-07-03 12:28:05,,BONGO,24,10,285,
695,2025-06-26 18:57:25,2025-07-03 12:28:05,,VERISA,24,1,296,
696,2025-06-26 18:57:25,2025-07-03 12:28:05,,323,24,1,279,
697,2025-06-26 18:57:25,2025-07-03 12:28:05,,AXELA,24,1,598,
700,2025-06-26 18:57:25,2025-07-03 12:28:05,,PROTEGE,24,1,292,
701,2025-06-26 18:57:25,2025-07-03 12:28:05,,MILLENIUS,24,1,291,
706,2025-06-26 18:57:25,2025-07-03 12:28:05,,FAMILIA,24,1,676,
715,2025-06-26 18:57:25,2025-07-03 12:28:05,,ML350,25,2,688,
741,2025-06-26 18:57:25,2025-07-03 12:28:05,,E63 AMG,25,1,631,
752,2025-06-26 18:57:25,2025-07-03 12:28:05,,E-300,25,1,599,
754,2025-06-26 18:57:25,2025-07-03 12:28:05,,C-300,25,1,630,
756,2025-06-26 18:57:25,2025-07-03 12:28:05,,SPRINTER,25,10,316,
